wavelength (nm),blank,popc
629.9910889,0.138698086,0.202867508
629.0013428,0.1377009,0.202503398
628.0112915,0.139985874,0.2048724
626.9842529,0.141872048,0.20651342
625.9935913,0.141057596,0.205701739
625.0026855,0.140125066,0.205410644
624.0114746,0.139722392,0.205829412
622.9833374,0.139591187,0.205933496
621.9915771,0.139296666,0.205919981
620.9995728,0.139357388,0.206153527
620.0073242,0.139280677,0.206151158
619.0147095,0.139269158,0.206678584
617.9851685,0.139178589,0.206915245
616.9920654,0.139183581,0.20719637
615.9986572,0.138728127,0.207009047
615.0050049,0.138589516,0.207291111
614.0111084,0.137953058,0.20746471
613.0168457,0.137914792,0.207315192
611.9856567,0.136940032,0.206586301
610.9909058,0.136867195,0.207416043
609.9958496,0.142465949,0.212000161
609.0006104,0.139790893,0.210223004
608.0050049,0.137510568,0.20875904
607.0092773,0.135322675,0.207318768
606.0131836,0.137737051,0.209607244
605.0168457,0.140839338,0.212015048
603.9832764,0.141939148,0.213296264
602.9863892,0.140450522,0.212527126
601.9893188,0.139031529,0.211482793
600.9918823,0.13850604,0.211313903
599.9942017,0.136686742,0.210684583
598.9962769,0.133813068,0.208210245
597.9980469,0.137632698,0.212308154
596.9996338,0.140959397,0.21471709
596.0008545,0.138447225,0.212750912
595.0018921,0.139242083,0.214151263
594.0026245,0.138757482,0.213690907
593.0031738,0.137246847,0.212881267
592.0033569,0.136208206,0.212654293
591.0033569,0.13727963,0.213822007
590.0031128,0.137736097,0.214704737
589.0025024,0.137828693,0.21488905
588.001709,0.137008593,0.214430839
587.0006104,0.136586532,0.214723125
585.9993286,0.13647449,0.214681819
584.9976807,0.135500729,0.214794174
583.9959106,0.135815948,0.214891478
582.9938354,0.135294542,0.214856997
581.9914551,0.13538599,0.215527058
580.9888916,0.135157242,0.215336874
579.9859619,0.134425327,0.215304658
578.9828491,0.133544684,0.215002686
578.0166626,0.13358292,0.215298787
577.0130615,0.13242428,0.214669183
576.0092163,0.13468501,0.217190564
575.005127,0.134736165,0.217189401
574.0006714,0.132401452,0.215976253
572.9960938,0.133763298,0.217647076
571.9912109,0.135864332,0.219096169
570.986145,0.133994594,0.217940211
570.0179443,0.133836433,0.218316451
569.0123291,0.131817997,0.217278838
568.0064697,0.129721582,0.216326922
567.0004272,0.133592188,0.219505265
565.9939575,0.13405709,0.220143616
564.9873657,0.132678062,0.219694465
564.0177612,0.131588832,0.219041094
563.0107422,0.130389527,0.218364477
562.0032959,0.13138032,0.219549075
560.9957886,0.131828442,0.220046669
559.987915,0.13071616,0.219677851
559.0172119,0.130020112,0.219749972
558.0088501,0.130000144,0.219833881
557.0003052,0.12962611,0.220460445
555.9914551,0.129083917,0.219966427
554.9824219,0.127773747,0.219548568
554.010498,0.127949745,0.220357075
553.0010376,0.131265044,0.223160029
551.9911499,0.129754722,0.222315788
551.0185547,0.128649652,0.221736357
550.0083618,0.127325967,0.221444503
548.9978638,0.123804271,0.218558267
547.9870605,0.125239432,0.220694155
547.0135498,0.128234416,0.223340124
546.0023804,0.128037274,0.223188847
